# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0030.JPG,-88.049651,41.814230,199.769000,,,,2.075519,0.161995,-0.192516,2.060213,,,,,-88.049650,41.814228,201.829213,138.252513,84.256939,7.863543
DJI_0031.JPG,-88.049636,41.814242,200.669000,,,,2.032179,0.082440,-0.229333,2.017513,,,,,-88.049635,41.814240,202.686513,141.594399,84.137488,6.549946
DJI_0031.JPG,-88.049636,41.814242,200.669000,,,,2.032179,0.082440,-0.229333,2.017513,,,,,-88.049635,41.814240,202.686513,141.594399,84.137488,6.549946
DJI_0032.JPG,-88.049624,41.814248,201.369000,,,,2.389153,0.333153,0.026248,2.365665,,,,,-88.049620,41.814249,203.734665,146.697708,84.021408,5.512703
DJI_0032.JPG,-88.049624,41.814248,201.369000,,,,2.389153,0.333153,0.026248,2.365665,,,,,-88.049620,41.814249,203.734665,146.697708,84.021408,5.512703
DJI_0033.JPG,-88.049605,41.814259,202.569000,,,,2.108431,0.042242,-0.196579,2.098822,,,,,-88.049604,41.814257,204.667822,144.983861,77.910758,3.139777
DJI_0033.JPG,-88.049605,41.814259,202.569000,,,,2.108431,0.042242,-0.196579,2.098822,,,,,-88.049604,41.814257,204.667822,144.983861,77.910758,3.139777
DJI_0034.JPG,-88.049586,41.814269,203.569000,,,,2.107688,0.180275,-0.060367,2.099096,,,,,-88.049584,41.814268,205.668096,148.622123,77.666020,3.010650
DJI_0034.JPG,-88.049586,41.814269,203.569000,,,,2.107688,0.180275,-0.060367,2.099096,,,,,-88.049584,41.814268,205.668096,148.622123,77.666020,3.010650
DJI_0035.JPG,-88.049564,41.814278,203.769000,,,,1.991788,0.226840,0.064664,1.977772,,,,,-88.049562,41.814279,205.746772,152.845572,77.537129,2.589824
DJI_0035.JPG,-88.049564,41.814278,203.769000,,,,1.991788,0.226840,0.064664,1.977772,,,,,-88.049562,41.814279,205.746772,152.845572,77.537129,2.589824
